("fiery", [1])
("fin", [2])
("find", [7])
("finds", [1])
("fine", [2])
("finem", [1])
("fineness", [1])
("finger", [3])
("fire", [4])
("first", [11])
("firstfor", [1])
("fish", [4])
("fishermen", [2])
("fishers", [1])
("fishes", [1])
("fit", [2])
("fits", [2])
("fittest", [1])
("five", [7])
("fixd", [1])
("fixing", [1])
("flattery", [1])
("fled", [2])
("flesh", [3])
("floated", [1])
("floating", [1])
("flood", [2])
("flout", [2])
("flouting", [1])
("fly", [3])
("foes", [1])
("folded", [1])
("followers", [1])
("following", [1])
("fond", [1])
("fondly", [1])
("food", [2])
("fool", [4])
("foolbeggd", [1])
("foolery", [1])
("foolish", [3])
("foolishness", [1])
("fools", [2])
("foot", [1])
("football", [1])
("for", [167])
("forbear", [1])
("forbid", [1])
("force", [1])
("forced", [1])
("forehead", [1])
("forgot", [1])
("form", [1])
("formal", [1])
("forsake", [1])
("forsooth", [1])
("forswear", [1])
("forswore", [3])
("forsworn", [2])
("forth", [10])
("forthwith", [1])
("fortune", [3])
("fortunes", [1])
("fortuneteller", [1])
("forty", [2])
("forward", [1])
("foul", [1])
("found", [4])
("four", [1])
("fowl", [1])
("fowls", [3])
("france", [2])
("frantic", [1])
("fraughtage", [1])
("free", [1])
("freedom", [1])
("freely", [1])
("frenzy", [1])
("fret", [1])
("friend", [6])
("friends", [1])
("fright", [1])
("from", [68])
("frown", [1])
("froze", [1])
("fulfil", [1])
("full", [4])
("furnishd", [1])
("furthest", [1])
("fury", [2])
("gain", [1])
("gaind", [1])
("gains", [1])
("gaoler", [5])
("garment", [1])
("garments", [1])
("gate", [4])
("gates", [1])
("gather", [3])
("gave", [14])
("gavest", [1])
("gay", [1])
("gaze", [2])
("gazing", [4])
("genius", [1])
("gentle", [7])
("gentleman", [3])
("gentlemen", [1])
("gentlewoman", [2])
("get", [15])
("gets", [1])
("ghost", [1])
("gifts", [1])
("gillian", [1])
("ginn", [1])
("give", [18])
("given", [1])
("gives", [2])
("glad", [1])
("gladly", [1])
("glanced", [1])
("glass", [1])
("glimmer", [1])
("globe", [1])
("glorious", [1])
("gnats", [1])
("gnawd", [1])
("gnawing", [1])
("go", [46])
("goblins", [1])
("god", [10])
("gods", [6])
("goes", [1])
("going", [1])
("gold", [19])
("golden", [2])
("golds", [1])
("goldsmith", [9])
("goldsmiths", [1])
("gone", [12])
("good", [28])
("goodly", [1])
("goods", [4])
("goodwill", [1])
("gossip", [1])
("gossiping", [1])
("gossips", [1])
("got", [2])
("grace", [8])
("gracious", [3])
("grain", [1])
("grained", [1])
("grant", [3])
("grass", [1])
("grave", [1])
("gravity", [1])
("grease", [1])
("great", [9])
("greatly", [1])
("greece", [1])
("grief", [2])
("griefs", [1])
("grieve", [1])
("grievous", [1])
("grim", [1])
("grime", [1])
("grossly", [1])
("ground", [1])
("grow", [1])
("growing", [1])
("grows", [3])
("guard", [2])
("guess", [1])
("guest", [1])
("guests", [1])
("guilders", [2])
("guilty", [2])
("gulf", [1])
("habit", [1])
("had", [39])
("hadst", [3])
("hair", [9])
("hairs", [1])
("hairy", [1])
("halberds", [1])
("half", [3])
("hall", [1])
("hand", [13])
("hands", [5])
("handwriting", [1])
("hang", [1])
("hap", [2])
("hapless", [1])
("haply", [2])
("happy", [2])
("harbinger", [1])
("harbour", [1])
("harbours", [1])
("hard", [4])
("hark", [2])
("harlot", [1])
("harlotbrow", [1])
("harlots", [1])
("harm", [2])
("harshly", [1])
("hast", [13])
("haste", [4])
("hatch", [1])
("hath", [34])
("haunts", [1])
("have", [88])
("having", [2])
("hazarded", [1])
("he", [150])
("head", [5])
("headsman", [1])
("headstrong", [1])
("headyrash", [1])
("healthful", [1])
("hear", [14])
("heard", [4])
("heart", [10])
("hearts", [2])
("heats", [1])
("heaven", [4])
("heavens", [3])
("heavier", [1])
("heavy", [2])
("heed", [1])
("heedful", [2])
("heels", [3])
("height", [1])
("heir", [1])
("held", [2])
("hell", [3])
("help", [8])
("helpful", [1])
("helpless", [2])
("hence", [12])
("her", [71])
("here", [51])
("herein", [2])
("hereof", [1])
("heres", [5])
("herself", [3])
("hes", [8])
("hid", [1])
("hides", [1])
("hie", [7])
("high", [1])
("highest", [1])
("highly", [1])
("highness", [1])
("him", [108])
("himself", [8])
("hind", [1])
("hinderd", [3])
("hindered", [1])
("hip", [4])
("hire", [1])
("his", [102])
("hit", [1])
("hither", [6])
("ho", [1])
("hoisted", [1])
("hold", [10])
("holiness", [1])
("holloweyed", [1])
("holp", [1])
("holy", [5])
("homage", [2])
("home", [42])
("homely", [1])
("homeward", [2])
("honest", [3])
("honesty", [1])
("honour", [2])
("honours", [1])
("hope", [8])
("hopeless", [2])
