("", [11])
("deadly", [4])
("deaf", [1])
("deal", [2])
("dealer", [1])
("dealers", [1])
("dealing", [1])
("dear", [23])
("dearer", [1])
("dearly", [3])
("death", [18])
("deaths", [1])
("debate", [1])
("debating", [1])
("debt", [6])
("debted", [1])
("decayed", [2])
("decays", [1])
("deceit", [1])
("deceive", [2])
("deceiveable", [1])
("deceived", [1])
("december", [1])
("deciphers", [1])
("decline", [1])
("declining", [1])
("decreed", [2])
("dedication", [1])
("deed", [1])
("deem", [1])
("deep", [3])
("deepdivorcing", [1])
("deeply", [1])
("deer", [1])
("default", [1])
("defeatures", [2])
("defence", [1])
("defend", [2])
("deform", [1])
("deformd", [1])
("deformed", [2])
("defy", [4])
("degree", [7])
("deity", [1])
("delay", [3])
("delays", [1])
("delight", [5])
("deliver", [8])
("deliverd", [2])
("delivered", [5])
("delivers", [1])
("delivert", [1])
("demand", [1])
("demean", [1])
("demeand", [1])
("demeanor", [1])
("demure", [1])
("denay", [1])
("denial", [2])
("denied", [6])
("denies", [3])
("deny", [15])
("denying", [2])
("depart", [7])
("departedst", [1])
("deplore", [1])
("derives", [1])
("desert", [1])
("deserts", [1])
("deserve", [1])
("desire", [11])
("desired", [1])
("desires", [2])
("desirest", [2])
("desirous", [1])
("desk", [3])
("despair", [1])
("desperate", [3])
("desperately", [1])
("despite", [2])
("detain", [1])
("determinate", [1])
("determine", [1])
("detested", [1])
("detests", [1])
("detraction", [1])
("device", [7])
("devil", [19])
("devils", [3])
("devotion", [2])
("devourd", [1])
("devout", [1])
("dexterously", [1])
("dial", [1])
("dialogue", [1])
("diamond", [2])
("dianas", [1])
("dick", [1])
("did", [100])
("didst", [13])
("die", [9])
("died", [4])
("dies", [3])
("diet", [2])
("dieu", [1])
("different", [1])
("digest", [2])
("digestions", [1])
("dignity", [1])
("dilate", [1])
("diluculo", [1])
("dimension", [2])
("diminishing", [1])
("dine", [9])
("dined", [7])
("dines", [1])
("dinner", [21])
("dinnertime", [3])
("dire", [1])
("direct", [1])
("directly", [1])
("dirty", [1])
("disannul", [1])
("disburse", [1])
("discard", [1])
("discharge", [2])
("discharged", [1])
("discord", [1])
("discourse", [5])
("discoursed", [1])
("discourses", [1])
("discover", [1])
("discovered", [1])
("discovers", [1])
("discreet", [2])
("disdain", [1])
("disfigure", [1])
("disgraced", [1])
("disguise", [2])
("disguised", [2])
("dish", [2])
("dishonest", [5])
("dishonestly", [1])
("dishonesty", [1])
("dishonourd", [1])
("dislike", [1])
("disloyalty", [1])
("dismiss", [1])
("dismount", [1])
("disorders", [1])
("disparagement", [1])
("dispatch", [2])
("dispense", [1])
("dispersed", [1])
("displayd", [1])
("displeased", [1])
("displeasure", [2])
("dispose", [1])
("disposed", [3])
("disposition", [3])
("dispossess", [1])
("disputes", [1])
("dissemble", [1])
("dissembled", [1])
("dissembling", [3])
("distaff", [1])
("distemper", [1])
("distemperatures", [1])
("distempered", [1])
("distinction", [1])
("distinguishd", [1])
("distract", [2])
("distracted", [1])
("distractedly", [1])
("distraction", [2])
("distressed", [1])
("distrust", [1])
("disturbd", [1])
("disturbed", [1])
("ditches", [1])
("divers", [1])
("divine", [2])
("diviner", [1])
("divinity", [2])
("division", [2])
