("", [42])
("belied", [5])
("belief", [6])
("beliest", [1])
("believe", [109])
("believed", [6])
("believes", [3])
("believest", [1])
("believing", [2])
("belike", [14])
("bell", [10])
("bellario", [8])
("bellarios", [1])
("bellied", [1])
("bellowd", [1])
("bellowing", [2])
("bellows", [1])
("bells", [6])
("bellwether", [2])
("belly", [15])
("bellyful", [1])
("bellys", [1])
("belman", [1])
("belmont", [14])
("belockd", [1])
("belong", [3])
("belonging", [2])
("belongings", [1])
("belongs", [6])
("beloved", [17])
("below", [14])
("bels", [1])
("belzebub", [1])
("bemete", [1])
("bemockdat", [1])
("bemoiled", [1])
("ben", [4])
("bench", [1])
("benched", [1])
("bend", [15])
("bending", [4])
("bends", [1])
("bene", [2])
("beneath", [7])
("benedicite", [1])
("benedick", [198])
("benedicks", [3])
("benedict", [1])
("benediction", [2])
("benedictus", [4])
("benefactors", [3])
("beneficial", [1])
("benefit", [14])
("benefits", [3])
("benevolence", [1])
("benign", [1])
("benison", [1])
("bennet", [1])
("bent", [11])
("bentivolii", [1])
("bents", [1])
("benumbed", [1])
("bepray", [1])
("bequeath", [5])
("bequeathe", [1])
("bequeathed", [1])
("bequeathing", [1])
("bereave", [2])
("bereft", [7])
("bergamo", [1])
("berhymed", [1])
("bermoothes", [1])
("berries", [2])
("berry", [1])
("bes", [1])
("beseech", [99])
("beseeching", [1])
("beseem", [2])
("beseemeth", [1])
("beseeming", [1])
("beset", [4])
("beshrew", [10])
("beside", [10])
("besides", [58])
("besiege", [2])
("besieged", [1])
("besmear", [1])
("besmeard", [1])
("besotted", [1])
("bespeak", [5])
("bespice", [1])
("bespoke", [3])
("best", [155])
("bestconditiond", [1])
("bestesteemd", [1])
("bestir", [2])
("bestmoving", [1])
("bestow", [16])
("bestowd", [7])
("bestowed", [11])
("bestowing", [1])
("bestows", [3])
("bestraught", [1])
("bestregarded", [1])
("bestrew", [2])
("bestrewd", [1])
("bestrid", [2])
("bet", [8])
("betake", [4])
("bethink", [8])
("bethought", [4])
("betid", [2])
("betime", [1])
("betimes", [9])
("betook", [2])
("betray", [15])
("betrayd", [6])
("betraydst", [1])
("betrayed", [1])
("betrays", [1])
("betrims", [1])
("betrothd", [1])
("betrothed", [1])
("betroths", [1])
("better", [238])
("betterd", [1])
("bettered", [2])
("betterfashiond", [1])
